JobTitle,Company,StartDate,EndDate,Duration,Location,Duration_months,JobType
Graduate Research Assistant,"Vuletic Group, Department of Physics, Massachusetts Institute of Technology",September 2010,Present,4 years 3 months,"Holmdel, NJ",4.25,Research
Founder &amp; CEO,LEIA Inc.,January 2014,Present,11 months,"Menlo Park, CA",0.916666666667,Founder
User Experience Designer,Intertrust Technologies Corporation,May 2014,Present,7 months,San Francisco Bay Area,0.583333333333,Designer
Visual Designer,Good World Media,July 2011,November 2013,2 years 5 months,New York,2.41666666667,Designer
Visual Design Intern,CIBO,January 2013,May 2013,5 months,San Francisco Bay Area,0.416666666667,Intern
Interactive Design Intern,remind101,July 2012,September 2012,3 months,San Francisco Bay Area,0.25,Intern
Junior Designer,The Shotwell Company,September 2011,July 2012,11 months,San Francisco Bay Area,0.916666666667,Designer
Marketing and Print Intern,Club One,September 2011,December 2011,4 months,San Francisco Bay Area,0.333333333333,Intern
Research Engineer,Boreal Genomics,August 2009,Present,5 years 4 months,"Vancouver, BC",5.33333333333,Research
Chief Scientific Officer and Co-founder,Quanttus,September 2012,Present,2 years 3 months,"Cambridge, MA",2.25,Founder
Research Assistant,MIT,September 2008,January 2013,4 years 5 months,"Cambridge, MA",4.41666666667,Research
Research Assistant,MIT,September 2006,July 2008,1 year 11 months,"Cambridge, MA",1.91666666667,Research
Technology Development and Operations Intern,Hewlett-Packard,June 2007,August 2007,3 months,"Corvallis, Oregon Area",0.25,Intern
Intelligent Products and Systems Intern,The Timken Company,June 2005,August 2006,1 year 3 months,"Canton, Ohio Area",1.25,Intern
Intelligent Products and Systems Intern,The Timken Company,June 2004,August 2004,3 months,"Canton, Ohio Area",0.25,Intern
Graduate Student in the Greenleaf Lab,Stanford University School of Medicine,September 2012,Present,2 years 3 months,"Stanford, CA",2.25,Student
Team Advisor,National Student Leadership Conference,June 2010,July 2010,2 months,San Francisco Bay Area,0.166666666667,Other
Undergraduate Researcher,Washington University School of Medicine,January 2008,May 2010,2 years 5 months,Greater St. Louis Area,2.41666666667,Research
"Manager, Experimental Quantum Computing",IBM,April 2014,Present,8 months,"Yorktown Heights, NY",0.666666666667,Manager
Graduate Student Researcher,Schoelkopf Lab at Yale University,September 2005,May 2010,4 years 9 months,"New Haven, CT",4.75,Student
Intern,Credit Suisse First Boston,June 2005,September 2005,4 months,Hong Kong,0.333333333333,Intern
Intern,Bell Labs Lucent Technologies,June 2002,September 2002,4 months,"Murray Hill, NJ",0.333333333333,Intern
QUICS Postdoctoral Fellow,University of Maryland,September 2014,Present,3 months,"College Park, MD",0.25,Postdoc
Physics PhD Candidate,MIT,September 2009,August 2014,5 years,"Cambridge, MA",5.0,Student
Graduate Intern,BBN Technologies,June 2012,August 2012,3 months,"Cambridge, MA",0.25,Intern
Summer Internship,University of Waterloo,June 2011,August 2011,3 months,Education,0.25,Intern
Project Coordinator/Research associate,Tufts University,May 2013,Present,1 year 7 months,"Boston, MA",1.58333333333,Research
Database Coordinator,Tufts University,September 2011,September 2013,2 years 1 month,"Boston, MA",2.08333333333,Other
Research Intern,Massachusetts General Hospital (LLMT),April 2008,August 2008,5 months,Greater Boston Area,0.416666666667,Intern
Senior Engineer,Qualcomm,January 2012,Present,2 years 11 months,"Toronto, Canada Area",2.91666666667,Engineer
"Instructor, 6.002x Circuits &amp; Electronics",Massachusetts Institute of Technology (MIT),August 2014,Present,4 months,"Dallas, TX",0.333333333333,Academia
Medical Business Unit Intern,Texas Instruments,May 2011,August 2011,4 months,"Dallas, Texas",0.333333333333,Intern
"Manager, Corporate Development &amp; Legal Affairs",Plentyoffish.com,May 2011,Present,3 years 7 months,"Vancouver, Canada Area",3.58333333333,Manager
"Engineer in Training, EIT",Autopro Automation Consultants Ltd.,September 2011,Present,3 years 3 months,"Burnaby, BC",3.25,Engineer
Electrical Engineer,U.S. Department of State,August 2013,Present,1 year 4 months,"Chantilly, VA",1.33333333333,Engineer
Undergraduate Researcher,University of Washington,September 2006,June 2009,2 years 10 months,"Seattle, WA",2.83333333333,Research
Undergraduate Researcher,University of Colorado at Boulder,June 2008,August 2008,3 months,"Boulder, CO",0.25,Research
Lecturer,Boston College,January 2010,Present,4 years 11 months,"Chestnut Hill, MA",4.91666666667,Academia
Stage Director/Lecturer,Bentley University,May 2011,May 2014,3 years 1 month,"Waltham, MA",3.08333333333,Academia
Assistant Stage Director for The Two Gentlemen of Verona,Commonwealth Shakespeare Company,2013,2013,less than a year,"Natick, MA",-1.0,Assistant
Project Manager - Strategic Planning,BHP Billiton Petroleum,December 2012,Present,2 years,"Houston, Texas Area",2.0,PM
Consultant,The Boston Consulting Group,June 2010,December 2012,2 years 7 months,"Houston, Texas Area",2.58333333333,Other
Research Geophysicist,Shell International E&amp;P,March 2009,May 2010,1 year 3 months,"Houston, Texas Area",1.25,Research
Research Assistant,Massachusetts Institute of Technology,September 2002,February 2009,6 years 6 months,"Cambridge, MA",6.5,Research
Summer Intern,Shell International E&amp;P,June 2008,August 2008,3 months,"Houston, Texas Area",0.25,Intern
Research Intern,Microsoft Research,May 2004,August 2004,4 months,"Cambridge, United Kingdom",0.333333333333,Intern
