JobTitle,Company,StartDate,Duration_yr,JobType
Research Analyst and Grants Coordinator,TEC Edmonton,2011/10,3.12640839705,Research
Editor,MetaboNews,2011/7,3.37846319157,Other
Product Manager,Google,2014/8,0.290791958691,Manager
Founder,drone.vc,2014/5,0.542846753212,Founder
Mentor,Founder Institute,2010/5,4.54558647924,Other
Founding Director,Hacker Dojo,2009/2,5.78942209568,Other
Co-Founder,SuperHappyDevHouse,2005/5,9.54832620527,Founder
Principal,DWeekly Consulting,1998/6,16.4688741505,Other
Global Partnerships Lead,Baedal Minjok ( 배달의민족 ),2014/11,0.0387371641708,Other
Investor,Redford,2012/11,2.03873716417,Other
Co-Founder and CEO,Zeal,2013/2,1.78668236965,Founder
CEO and Founder,Relevant Learning,2014/9,0.205860451842,Founder
Board Member,Congregation Beth Am,2010/5,4.54558647924,Other
Principal Data Scientist,"AT&T Foundry, AT&T Big Data",2013/8,1.29079195869,Scientist
CEO,ZMBmedia,2010/1,4.87435360253,CEO
Mentor,UpWest Labs,2012/1,2.87435360253,Other
Board Member,The Machine Intelligence Research Institute,2012/1,2.87435360253,Other
CEO,Quixey,2009/12,4.95928510938,CEO
Recruiting Partner,Mirus Search,2013/7,1.37572346554,Other
Director - SCUBrand4U Program,Santa Clara University,2012/9,2.20586045184,Other
"Professor of Practice, Leavey School of Business",Santa Clara University,1989/9,25.222298808,Academia
Technical Sales Consultant,Miltenyi Biotec,2014/5,0.542846753212,Consultant
Regional Consultant,Big3Bio,2014/5,0.542846753212,Consultant
Co Founder,Curium LLC,2014/4,0.625038534034,Founder
Partner,Cross Coin Ventures,2014/2,0.78668236965,Other
Partner,Menlo Incubator,2010/8,4.29353168472,Other
Professor,San Jose State University,2006/1,8.87709332855,Academia
Managing Director,Bodega Partners,1994/1,20.8853125066,Other
Instructor of Growth Marketing,Tradecraft,2013/11,1.03873716417,Academia
Student Advisory Committee for Career Services (SACCS) at Career and Practicum Services Center Dept,SIT Graduate Institute,2014/8,0.290791958691,Student
Private Tutor and Consultant for International and Study Abroad Students,self-employed,2014/1,0.8716138765,Intern
English tutor,Kent Consultancy Group,2013/11,1.03873716417,Other
"Administrative Associate, Centers & Initiatives for Research, Curr",Stanford Graduate School of Business,2013/11,1.03873716417,Research
Executive Director of Technovation,Iridescent,2013/10,1.12366867102,Other
Founder and CEO,Copywriter Central,2012/5,2.54284675321,Founder
Principal,Montgomery Investments,2011/10,3.12640839705,Other
Co-Founder,Science Exchange,2011/1,3.87435360253,Founder
Professor and Director,San Jose State University School of Information,2010/8,4.29353168472,Academia
"Manager, Human Resources",Quixey,2014/7,0.375723465541,Manager
Resident Director,University of Washington,2011/7,3.37846319157,Other
CFO,Yelp.com,2011/8,3.29353168472,Other
Regional Manager,Wyatt Technology,2013/10,1.12366867102,Manager
Board Member,STANFORD UNIVERSITY MEDICAL CENTER ALUMNI ASSOCIATION (SUMCAA) – Board of Governor,2011/9,3.20860017787,Other
Partner,EY,2008/7,6.37846319157,Other
Professor of Biochemistry & Biophysics,UCSF,2013/1,1.8716138765,Academia
Editorial Board Member,Journal of Visualized Experiments,2011/12,2.95928510938,Other
Associate Professor of Biochemistry & Biophysics,UCSF,2009/7,5.37846319157,Academia
Editorial Board Member,Current Biology,2008/1,6.87709332855,Other
"Associate, Acquisitions & Development",Kimpton Hotels & Restaurants,2012/12,1.95654538335,Other
Facilitator,Stanford Leaders in Communication,2014/4,0.625038534034,Other
Founder/Public Speaking Coach,"Speech Capital, LLC",2012/11,2.03873716417,Founder
Strategic Partnerships,Science Exchange,2014/3,0.709970040883,Other
Founder,BioMatch Solution,2013/6,1.45791524636,Founder
"Reporter, Producer, Editor",Independent,2008/1,6.87709332855,Other
Senior Manager of Development,American Cancer Society,2008/4,6.62777826006,Manager
Account Manager,inMotionNow,2014/11,0.0387371641708,Manager
Scientist I,Bristol-Myers Squibb,2014/8,0.290791958691,Scientist
Associate Quality Engineering Manager - Advanced,Stryker,2014/5,0.542846753212,Engineer
Pipeline and Portfolio Planning Intern,Genentech,2014/4,0.625038534034,Intern
Graduate Student,Stanford University,2008/1,6.87709332855,Student
Professor,Washington University in St. Louis,2013/1,1.8716138765,Academia
"Assoc. Prof. of Mechanical Engineering & Materials Science, Assoc. Prof. of Neurological Sugery",Washington University,1999/1,15.8825727806,Engineer
"Program Analyst, Workforce Development",NACCHO,2014/3,0.709970040883,Other
"Associate Specialist, Workforce Development",NACCHO,2012/11,2.03873716417,Other
Marketing Manager,Pager,2014/6,0.457915246363,Manager
Software Engineer,Uber,2014/10,0.12366867102,Software Eng
Co-Founder and former CTO,Standard Treasury,2013/7,1.37572346554,Founder
Assistant Dean for Graduate Education,Stanford University School of Medicine,2012/11,2.03873716417,Assistant
Graduate Student,Stanford University,2008/1,6.87709332855,Student
Marketing Specialist,Amazon,2013/10,1.12366867102,Other
Founder,"This Startup, LLC",2010/1,4.87435360253,Founder
"Owner, Digital Animator",AvantGravity,2008/1,6.87709332855,Other
Teacher,Congregation Etz Chayim,2013/9,1.20586045184,Other
"Legislative Director, Office of Delegate Kirill Reznik",Maryland General Assembly,2013/6,1.45791524636,Other
President,Baltimore County Young Democrats,2013/1,1.8716138765,Other
Software Engineer,Funding Circle USA,2014/4,0.625038534034,Software Eng
"Vice President, Operations & Financial Advice","LearnVest, Inc.",2014/6,0.457915246363,Other
